Priority,Category,Headline,Source,Location,Credibility,Summary,Action Directive,URL
HIGH,Climate Science,Test Unique Headline for Agent Memory 1789917395.7982702,Test Authority,Global Scope,0.85,This is a test summary for persistence verification.,Monitor developments.,https://example.com/test-article-1789917395.7982702
HIGH,Climate Science,Test Unique Headline for Agent Memory 1789917363.1191194,Test Authority,Global Scope,0.85,This is a test summary for persistence verification.,Monitor developments.,https://example.com/test-article-1789917363.1191194
HIGH,Climate Science,Test Unique Headline for Agent Memory 1789917339.5606296,Test Authority,Global Scope,0.85,This is a test summary for persistence verification.,Monitor developments.,https://example.com/test-article-1789917339.5606296
HIGH,Climate Science,Test Unique Headline for Agent Memory 1789917328.8366964,Test Authority,Global Scope,0.85,This is a test summary for persistence verification.,Monitor developments.,https://example.com/test-article-1789917328.8366964
HIGH,Climate Science,Test Unique Headline for Agent Memory 1789915263.370719,Test Authority,Global Scope,0.85,This is a test summary for persistence verification.,Monitor developments.,https://example.com/test-article-1789915263.370719
HIGH,Climate Science,Test Unique Headline for Agent Memory 1789915217.4387677,Test Authority,Global Scope,0.85,This is a test summary for persistence verification.,Monitor developments.,https://example.com/test-article-1789915217.4387677
MEDIUM,Climate Science,Climate change,World Health Organization (WHO),Global Scope,0.7,Climate changeWorld Health Organization (WHO),Incorporate empirical climate observations into annual national risk assessments.,https://news.google.com/rss/articles/CBMif0FVX3lxTE50VExlaEhXTlVoQ00tWDRxa090b0pTS3FPQzZTZ0swWTVaM19jUWM0ZjZ6NVUxdHV1VnJQUXVEYzJvbTVidGczX2RWX0dfaF9CLTFKbWdzeVZrMkp1MnJjeVYyRi1HRWVCOGhGV1NfTjdvcHhOZ3lxVWlSRFFZZWc?oc=5
MEDIUM,Climate Science,'Negligence' not to prepare for climate change emergencies in Wales,BBC,Global Scope,0.7,'Negligence' not to prepare for climate change emergencies in WalesBBC,Incorporate empirical climate observations into annual national risk assessments.,https://news.google.com/rss/articles/CBMiXEFVX3lxTE54bi1FVmh0TGdORWNZMGFzLWEwSmZ0dGlmTHdqdTByT0ZYekZNVjh2T0Y2NE5ZRVlPYlZ4alFiOE1yemQtSFZfYjRXa2xERXpFSURYNEUwOS1ZMkVG?oc=5
CRITICAL,Extreme Weather,"UK must be ready for ‘unprecedented’ heatwaves and flooding, climate experts warn",The Independent,Global Scope,0.7,"UK must be ready for ‘unprecedented’ heatwaves and flooding, climate experts warnThe Independent",Activate emergency civil cooling centers and drought contingency funding.,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQMEhpQXdSd1BxdlIxVE9rbkRtcnB5X0t2b2d5Y0hnOWQ3VTBnXzhUREZfNzFEdHl3LWd4V2hZUnpSbHE1R3BpdWhnbENfQ2dUNGRWZE52NENfUUNZaTdVYzYtbklrZDVaaWZnbEZnR2MtcHVkM0RZbzBQQVBVWEg3ajlQRnFZT1c3WFpNQjZ4eHV1ck5DLUVwVU8xeVZoNVJHYlJDZnhXcVF5R0hpbmdncWYtUnVtQWVieXQydXVaMVQ?oc=5
MEDIUM,Climate Science,Extreme Weather and Climate Change,NASA Science (.gov),Global Scope,0.95,Extreme Weather and Climate ChangeNASA Science (.gov),Incorporate empirical climate observations into annual national risk assessments.,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5POHZwdkFNMURYWE12MW5tYnYwdFFkVWV4emlpRnU0aGVFMW5ucjc5X1o3VlNoa1dQNDZ5TUIwMU5VZVhfUjJ5Yk1adHE0eGtsRmhNWUtnaGNxaGFHUXBwbGlZTk9IYjg?oc=5
